y,preds,name,type,cell_type_label,disease
0.0,0,CKMT2,test,acinar cell of salivary gland,RA
1.0,0,PDE3A,test,acinar cell of salivary gland,RA
0.0,0,MARK2,test,acinar cell of salivary gland,RA
0.0,0,ATP6AP1,test,acinar cell of salivary gland,RA
0.0,0,CHRM1,test,acinar cell of salivary gland,RA
0.0,0,TPT1,test,acinar cell of salivary gland,RA
0.0,0,AKR1A1,test,acinar cell of salivary gland,RA
0.0,0,SLC9A1,test,acinar cell of salivary gland,RA
0.0,0,ALDH1A3,test,acinar cell of salivary gland,RA
0.0,0,TMPRSS2,test,acinar cell of salivary gland,RA
0.0,0,GAMT,test,acinar cell of salivary gland,RA
0.0,0,PDHA1,test,acinar cell of salivary gland,RA
0.0,0,SLC7A1,test,acinar cell of salivary gland,RA
0.0,0,MAPK8,test,acinar cell of salivary gland,RA
0.0,0,QDPR,test,acinar cell of salivary gland,RA
0.0,0,LTF,test,acinar cell of salivary gland,RA
0.0,0,CTSL,test,acinar cell of salivary gland,RA
0.0,0,ALDH6A1,test,acinar cell of salivary gland,RA
0.0,0,GOT1,test,acinar cell of salivary gland,RA
0.0,0,VEGFB,test,acinar cell of salivary gland,RA
0.0,0,PRKCZ,test,acinar cell of salivary gland,RA
0.0,0,PEBP1,test,acinar cell of salivary gland,RA
0.0,0,MAP3K9,test,acinar cell of salivary gland,RA
0.0,0,COX7C,test,acinar cell of salivary gland,RA
0.0,0,NEIL2,test,acinar cell of salivary gland,RA
0.0,0,PRDX2,test,acinar cell of salivary gland,RA
0.0,0,ALDH9A1,test,acinar cell of salivary gland,RA
1.0,0,TEC,test,acinar cell of salivary gland,RA
0.0,0,GLRX,test,acinar cell of salivary gland,RA
0.0,0,SIK2,test,acinar cell of salivary gland,RA
0.0,0,CMPK1,test,acinar cell of salivary gland,RA
0.0,0,MAPK9,test,acinar cell of salivary gland,RA
0.0,0,HADH,test,acinar cell of salivary gland,RA
0.0,0,MAPT,test,acinar cell of salivary gland,RA
0.0,0,IDH3B,test,acinar cell of salivary gland,RA
0.0,0,CDK16,test,acinar cell of salivary gland,RA
0.0,0,CYB5R1,test,acinar cell of salivary gland,RA
0.0,0,EPHA2,test,acinar cell of salivary gland,RA
0.0,0,PDIA3,test,acinar cell of salivary gland,RA
0.0,0,FRK,test,acinar cell of salivary gland,RA
0.0,0,SHMT2,test,acinar cell of salivary gland,RA
0.0,0,MAP3K1,test,acinar cell of salivary gland,RA
0.0,0,IDH3G,test,acinar cell of salivary gland,RA
0.0,0,ACSS2,test,acinar cell of salivary gland,RA
0.0,0,GBA,test,acinar cell of salivary gland,RA
0.0,0,F2R,test,acinar cell of salivary gland,RA
0.0,0,ACSL1,test,acinar cell of salivary gland,RA
0.0,0,ARG2,test,acinar cell of salivary gland,RA
0.0,0,KCNQ1,test,acinar cell of salivary gland,RA
0.0,0,NUCB1,test,acinar cell of salivary gland,RA
0.0,0,MGST2,test,acinar cell of salivary gland,RA
1.0,0,IL6,test,acinar cell of salivary gland,RA
0.0,0,SHMT1,test,acinar cell of salivary gland,RA
0.0,0,ALDH3A2,test,acinar cell of salivary gland,RA
0.0,0,RPSA,test,adipocyte,RA
0.0,0,IGF2R,test,adipocyte,RA
0.0,0,ALDH7A1,test,adipocyte,RA
0.0,0,GLRX2,test,adipocyte,RA
0.0,0,PGD,test,adipocyte,RA
0.0,0,TNK2,test,adipocyte,RA
0.0,0,ACTN1,test,adipocyte,RA
0.0,0,EEF1A1,test,adipocyte,RA
0.0,0,ACADM,test,adipocyte,RA
0.0,0,ALDH9A1,test,adipocyte,RA
0.0,0,PNPO,test,adipocyte,RA
0.0,0,PKLR,test,adipocyte,RA
0.0,0,ATOX1,test,adipocyte,RA
0.0,0,GSTA4,test,adipocyte,RA
0.0,0,NQO1,test,adipocyte,RA
0.0,0,FTO,test,adipocyte,RA
0.0,0,AHCY,test,adipocyte,RA
0.0,0,ATP6V1B2,test,adipocyte,RA
0.0,0,IDE,test,adipocyte,RA
0.0,0,CA11,test,adipocyte,RA
0.0,0,MT-CO2,test,adipocyte,RA
0.0,0,TFRC,test,adipocyte,RA
0.0,0,PLIN3,test,adipocyte,RA
0.0,0,MAP3K1,test,adipocyte,RA
0.0,0,ACSL1,test,adipocyte,RA
0.0,0,HLCS,test,adipocyte,RA
0.0,0,TAOK1,test,adipocyte,RA
0.0,0,ATP6V1D,test,adipocyte,RA
0.0,0,PHYKPL,test,adipocyte,RA
0.0,0,SIGMAR1,test,adipocyte,RA
0.0,0,ATP6V0A2,test,adipocyte,RA
0.0,0,MAP3K4,test,adipocyte,RA
0.0,0,PDXK,test,adipocyte,RA
0.0,0,HGS,test,adipocyte,RA
0.0,0,YES1,test,adipocyte,RA
0.0,0,TKT,test,adipocyte,RA
0.0,0,BLVRB,test,adipocyte,RA
0.0,0,SLC12A2,test,adipocyte,RA
0.0,0,PML,test,adipocyte,RA
0.0,0,SOD1,test,adipocyte,RA
0.0,0,ATP2C1,test,adipocyte,RA
1.0,0,FKBP1A,test,adipocyte,RA
0.0,0,DHCR7,test,adipocyte,RA
0.0,0,OPLAH,test,adipocyte,RA
0.0,0,AR,test,adipocyte,RA
0.0,0,HMGB1,test,adipocyte,RA
0.0,0,PRDX2,test,adipocyte,RA
0.0,0,ACTG1,test,adipocyte,RA
1.0,0,KEAP1,test,adipocyte,RA
0.0,0,GLDC,test,adipocyte,RA
1.0,0,DDB1,test,adipocyte,RA
1.0,0,FDPS,test,adipocyte,RA
1.0,0,GMPS,test,adipocyte,RA
1.0,0,CUL4A,test,adipocyte,RA
1.0,0,POLE3,test,adipocyte,RA
1.0,0,MAP2K2,test,adipocyte,RA
0.0,0,ERBB2,test,adipocyte,RA
0.0,0,PDK1,test,adipocyte,RA
0.0,0,PEBP1,test,adipocyte,RA
0.0,0,PDPK1,test,adipocyte,RA
0.0,0,CRAT,test,adipocyte,RA
0.0,0,VKORC1L1,test,adipocyte,RA
0.0,0,DLAT,test,adipocyte,RA
0.0,0,COX7B,test,adipocyte,RA
0.0,0,P4HB,test,adipocyte,RA
0.0,0,MT-ATP6,test,adipocyte,RA
0.0,0,RPS18,test,adipocyte,RA
0.0,0,ALDH4A1,test,adipocyte,RA
0.0,0,LCN1,test,adipocyte,RA
0.0,0,MCCC1,test,adipocyte,RA
0.0,0,HDAC8,test,adipocyte,RA
0.0,0,IDH2,test,adipocyte,RA
0.0,0,PCYT1A,test,adipocyte,RA
0.0,0,DYRK1A,test,adipocyte,RA
0.0,0,HNRNPL,test,adipocyte,RA
1.0,0,PPIA,test,adipocyte,RA
0.0,0,GSTP1,test,adipocyte,RA
0.0,0,GPI,test,adipocyte,RA
0.0,0,SRP14,test,adipocyte,RA
0.0,0,ATP6V1A,test,adipocyte,RA
0.0,0,TP53,test,adipocyte,RA
0.0,0,FDXR,test,adipocyte,RA
0.0,0,ELOVL5,test,adipocyte,RA
0.0,0,TOP1,test,adipocyte,RA
0.0,0,GAPDH,test,adipocyte,RA
0.0,0,FUBP1,test,adipocyte,RA
0.0,0,PSAT1,test,adipocyte,RA
0.0,0,NCS1,test,adipocyte,RA
0.0,0,COMT,test,adipocyte,RA
0.0,0,DSP,test,adipocyte,RA
0.0,0,CSNK2A1,test,adipocyte,RA
0.0,0,YARS2,test,adipocyte,RA
0.0,0,COX5B,test,adipocyte,RA
0.0,0,MOCS2,test,adipocyte,RA
0.0,0,HDAC1,test,adipocyte,RA
0.0,0,MAP4K4,test,adipocyte,RA
0.0,0,HIPK2,test,adipocyte,RA
0.0,0,COX7C,test,adipocyte,RA
0.0,0,NUCB1,test,adipocyte,RA
0.0,0,CCND1,test,adipocyte,RA
0.0,0,MGST2,test,adipocyte,RA
0.0,0,EEF2,test,adipocyte,RA
0.0,0,MTOR,test,adipocyte,RA
0.0,0,CKS1B,test,adipocyte,RA
0.0,0,APRT,test,adipocyte,RA
0.0,0,CACNB4,test,adipocyte,RA
0.0,0,EGLN1,test,adipocyte,RA
0.0,0,FGFR2,test,adipocyte,RA
0.0,0,ATP6V0B,test,adipocyte,RA
0.0,0,SLC2A1,test,adipocyte,RA
0.0,0,CDK9,test,adipocyte,RA
0.0,0,TSPO,test,adipocyte,RA
0.0,0,PTGDS,test,adipocyte,RA
0.0,0,CCT3,test,adipocyte,RA
0.0,0,IGF1R,test,adipocyte,RA
0.0,0,COX6B1,test,adipocyte,RA
0.0,0,GSTZ1,test,adipocyte,RA
0.0,0,PHGDH,test,adipocyte,RA
0.0,0,VEGFB,test,adipocyte,RA
1.0,0,RBX1,test,adipocyte,RA
0.0,0,GAMT,test,adipocyte,RA
0.0,0,AIFM1,test,adipocyte,RA
0.0,0,ATP6V0A1,test,adipocyte,RA
0.0,0,HNRNPK,test,adipocyte,RA
0.0,0,HADHA,test,adipocyte,RA
0.0,0,TPI1,test,adipocyte,RA
0.0,0,GCAT,test,adipocyte,RA
0.0,0,HBB,test,adipocyte,RA
0.0,0,CPNE1,test,adipocyte,RA
0.0,0,CMPK1,test,adipocyte,RA
0.0,0,ACLY,test,adipocyte,RA
0.0,0,PSPH,test,adipocyte,RA
0.0,0,RPL10,test,adipocyte,RA
0.0,0,SHMT2,test,adipocyte,RA
0.0,0,BECN1,test,adipocyte,RA
0.0,0,OGDH,test,adipocyte,RA
0.0,0,DGKZ,test,adipocyte,RA
0.0,0,TUBG1,test,adipocyte,RA
0.0,0,SDHD,test,adipocyte,RA
0.0,0,SLC38A2,test,adipocyte,RA
0.0,0,HNRNPA2B1,test,adipocyte,RA
0.0,0,ACP1,test,adipocyte,RA
0.0,0,PRPF4B,test,adipocyte,RA
0.0,0,PPARGC1B,test,adipocyte,RA
0.0,0,ARL2,test,adipocyte,RA
0.0,0,KHSRP,test,adipocyte,RA
0.0,0,HDAC3,test,adipocyte,RA
0.0,0,POR,test,adipocyte,RA
0.0,0,RANBP1,test,adipocyte,RA
0.0,0,INSR,test,adipocyte,RA
0.0,0,ACSS2,test,adipocyte,RA
0.0,0,NR1H3,test,adipocyte,RA
0.0,0,HADH,test,adipocyte,RA
0.0,0,MYLK,test,adipocyte,RA
0.0,0,MAP3K13,test,adipocyte,RA
0.0,0,RXRA,test,adipocyte,RA
0.0,0,CYB5R1,test,adipocyte,RA
0.0,0,PKM,test,adipocyte,RA
0.0,0,ACOX1,test,adipocyte,RA
0.0,0,SLC25A5,test,adipocyte,RA
0.0,0,CLK4,test,adipocyte,RA
0.0,0,SQLE,test,adipocyte,RA
0.0,0,SLC11A2,test,adipocyte,RA
0.0,0,RACK1,test,adipocyte,RA
0.0,0,MARK4,test,adipocyte,RA
0.0,0,ECHS1,test,adipocyte,RA
0.0,0,XPO1,test,adipocyte,RA
0.0,0,SF1,test,adipocyte,RA
0.0,0,MAPK6,test,adipocyte,RA
0.0,0,PIM3,test,adipocyte,RA
0.0,0,LTF,test,adipocyte,RA
0.0,0,RPL14,test,adipocyte,RA
0.0,0,MGST1,test,adipocyte,RA
0.0,0,RPL18,test,adipocyte,RA
0.0,0,QDPR,test,adipocyte,RA
0.0,0,PRDX1,test,adipocyte,RA
0.0,0,NADSYN1,test,adipocyte,RA
0.0,0,AKR1A1,test,adipocyte,RA
0.0,0,EBP,test,adipocyte,RA
0.0,0,PDHA1,test,adipocyte,RA
0.0,0,G6PD,test,adipocyte,RA
0.0,0,IDH3B,test,adipocyte,RA
0.0,0,ESD,test,adipocyte,RA
0.0,0,IDH3G,test,adipocyte,RA
0.0,0,GOT1,test,adipocyte,RA
0.0,0,ALDH3A2,test,adipocyte,RA
1.0,0,NCBP2,test,adipocyte,RA
0.0,0,NOLC1,test,adipocyte,RA
0.0,0,PSMB5,test,adipocyte,RA
0.0,0,MTHFD1,test,adipocyte,RA
0.0,0,HSPD1,test,adipocyte,RA
0.0,0,BRCC3,test,adipocyte,RA
1.0,0,TUBB,test,adventitial cell,RA
0.0,0,NT5E,test,adventitial cell,RA
0.0,0,ARL2,test,adventitial cell,RA
0.0,0,CSRP1,test,adventitial cell,RA
0.0,0,LTF,test,adventitial cell,RA
0.0,0,COX7A1,test,adventitial cell,RA
0.0,0,APP,test,adventitial cell,RA
0.0,0,ATF6,test,adventitial cell,RA
0.0,0,PLAT,test,adventitial cell,RA
0.0,0,CPNE1,test,adventitial cell,RA
0.0,0,SRI,test,adventitial cell,RA
0.0,0,BCHE,test,adventitial cell,RA
0.0,0,IDH3B,test,adventitial cell,RA
0.0,0,HIBADH,test,adventitial cell,RA
0.0,0,COX6B1,test,adventitial cell,RA
0.0,0,MMP2,test,adventitial cell,RA
0.0,0,PRKACA,test,adventitial cell,RA
0.0,0,SLC38A2,test,adventitial cell,RA
0.0,0,SLC7A8,test,adventitial cell,RA
0.0,0,RPS18,test,adventitial cell,RA
0.0,0,COMT,test,adventitial cell,RA
0.0,0,PGK1,test,adventitial cell,RA
0.0,0,GPI,test,adventitial cell,RA
0.0,0,SLC25A12,test,adventitial cell,RA
0.0,0,ESD,test,adventitial cell,RA
0.0,0,HSPA8,test,adventitial cell,RA
0.0,0,IL11RA,test,adventitial cell,RA
0.0,0,CCT3,test,adventitial cell,RA
0.0,0,SOD1,test,adventitial cell,RA
0.0,0,PLOD3,test,adventitial cell,RA
0.0,0,MT-CO2,test,adventitial cell,RA
0.0,0,MTHFD1,test,adventitial cell,RA
0.0,0,CLK1,test,adventitial cell,RA
0.0,0,SIGMAR1,test,adventitial cell,RA
0.0,0,PHYKPL,test,adventitial cell,RA
0.0,0,ANXA1,test,adventitial cell,RA
0.0,0,SDC2,test,adventitial cell,RA
0.0,0,FTO,test,adventitial cell,RA
0.0,0,PLOD1,test,adventitial cell,RA
0.0,0,DCLK1,test,adventitial cell,RA
0.0,0,GSTP1,test,adventitial cell,RA
0.0,0,PEBP1,test,adventitial cell,RA
0.0,0,IDH3G,test,adventitial cell,RA
0.0,0,DPYSL2,test,adventitial cell,RA
0.0,0,TPT1,test,adventitial cell,RA
0.0,0,TGFBR2,test,adventitial cell,RA
0.0,0,MAP3K6,test,adventitial cell,RA
0.0,0,RANBP1,test,adventitial cell,RA
0.0,0,PDIA3,test,adventitial cell,RA
0.0,0,LRP1,test,adventitial cell,RA
0.0,0,IGF2R,test,adventitial cell,RA
0.0,0,KHSRP,test,adventitial cell,RA
0.0,0,MAP4K5,test,adventitial cell,RA
0.0,0,AR,test,adventitial cell,RA
0.0,0,F10,test,adventitial cell,RA
1.0,0,NCBP2,test,adventitial cell,RA
0.0,0,RPSA,test,adventitial cell,RA
0.0,0,CMPK1,test,adventitial cell,RA
0.0,0,LATS1,test,adventitial cell,RA
0.0,0,TUBA1A,test,adventitial cell,RA
0.0,0,SDHD,test,adventitial cell,RA
0.0,0,HSP90AA1,test,adventitial cell,RA
0.0,0,COX5B,test,adventitial cell,RA
0.0,0,EIF2AK2,test,adventitial cell,RA
0.0,0,HNRNPK,test,adventitial cell,RA
0.0,0,ATP6V0C,test,adventitial cell,RA
0.0,0,AXL,test,adventitial cell,RA
0.0,0,IGFBP3,test,adventitial cell,RA
0.0,0,NR1H2,test,adventitial cell,RA
0.0,0,COQ8A,test,adventitial cell,RA
0.0,0,ADA,test,adventitial cell,RA
0.0,0,GSTA4,test,adventitial cell,RA
0.0,0,ABL2,test,adventitial cell,RA
0.0,0,SLC16A4,test,adventitial cell,RA
0.0,0,PGD,test,adventitial cell,RA
0.0,0,CPE,test,adventitial cell,RA
0.0,0,VIM,test,adventitial cell,RA
0.0,0,PHGDH,test,adventitial cell,RA
0.0,0,HP,test,adventitial cell,RA
1.0,0,POLD4,test,adventitial cell,RA
0.0,0,GLB1,test,adventitial cell,RA
0.0,0,GSTM2,test,adventitial cell,RA
0.0,0,VCAM1,test,adventitial cell,RA
0.0,0,PLA2G2A,test,adventitial cell,RA
0.0,0,PKM,test,adventitial cell,RA
0.0,0,RAF1,test,adventitial cell,RA
0.0,0,BHMT2,test,adventitial cell,RA
0.0,0,ACLY,test,adventitial cell,RA
0.0,0,IGF1R,test,adventitial cell,RA
0.0,0,SOD2,test,adventitial cell,RA
0.0,0,NUCB1,test,adventitial cell,RA
0.0,0,COX7C,test,adventitial cell,RA
0.0,0,NGF,test,adventitial cell,RA
0.0,0,EEF1A1,test,adventitial cell,RA
1.0,0,MAPK14,test,adventitial cell,RA
0.0,0,AKR1A1,test,adventitial cell,RA
1.0,0,KEAP1,test,adventitial cell,RA
0.0,0,CTNNB1,test,adventitial cell,RA
0.0,0,H6PD,test,adventitial cell,RA
0.0,0,PFN1,test,adventitial cell,RA
0.0,0,FN1,test,adventitial cell,RA
0.0,0,CFL1,test,adventitial cell,RA
0.0,0,EPAS1,test,adventitial cell,RA
0.0,0,ECHS1,test,adventitial cell,RA
0.0,0,SRP14,test,adventitial cell,RA
0.0,0,CKS1B,test,adventitial cell,RA
0.0,0,FER,test,adventitial cell,RA
0.0,0,CAMK1D,test,adventitial cell,RA
0.0,0,GLRX,test,adventitial cell,RA
0.0,0,RACK1,test,adventitial cell,RA
0.0,0,PI4KB,test,adventitial cell,RA
0.0,0,VKORC1L1,test,adventitial cell,RA
0.0,0,SF1,test,adventitial cell,RA
0.0,0,ALDH7A1,test,adventitial cell,RA
1.0,0,PDGFRB,test,adventitial cell,RA
0.0,0,EEF2,test,adventitial cell,RA
0.0,0,CTDSP1,test,adventitial cell,RA
0.0,0,EZH1,test,adventitial cell,RA
0.0,0,NEK1,test,adventitial cell,RA
0.0,0,PTGDS,test,adventitial cell,RA
0.0,0,ACTG1,test,adventitial cell,RA
0.0,0,ADH1A,test,adventitial cell,RA
0.0,0,TPI1,test,adventitial cell,RA
0.0,0,MKNK1,test,adventitial cell,RA
0.0,0,CLEC3B,test,adventitial cell,RA
0.0,0,POR,test,adventitial cell,RA
0.0,0,GRB2,test,adventitial cell,RA
1.0,0,DDB1,test,adventitial cell,RA
0.0,0,RPL10,test,adventitial cell,RA
0.0,0,PPT1,test,adventitial cell,RA
0.0,0,MR1,test,adventitial cell,RA
0.0,0,HADHA,test,adventitial cell,RA
0.0,0,INSR,test,adventitial cell,RA
1.0,0,FKBP1A,test,adventitial cell,RA
0.0,0,ELANE,test,adventitial cell,RA
0.0,0,ATP6V0E1,test,adventitial cell,RA
0.0,0,STK38,test,adventitial cell,RA
0.0,0,ALDH6A1,test,adventitial cell,RA
0.0,0,NR1H3,test,adventitial cell,RA
0.0,0,AKR1C1,test,adventitial cell,RA
1.0,0,RBX1,test,adventitial cell,RA
1.0,0,PPIA,test,adventitial cell,RA
0.0,0,F3,test,adventitial cell,RA
0.0,0,GSTO1,test,adventitial cell,RA
0.0,0,SHMT1,test,adventitial cell,RA
0.0,0,ALDOA,test,adventitial cell,RA
0.0,0,KCND1,test,adventitial cell,RA
0.0,0,ALDH1A1,test,adventitial cell,RA
0.0,0,HSPD1,test,adventitial cell,RA
0.0,0,GCDH,test,adventitial cell,RA
0.0,0,G6PD,test,adventitial cell,RA
1.0,0,IL6,test,adventitial cell,RA
0.0,0,ACOX1,test,adventitial cell,RA
0.0,0,ALDH9A1,test,adventitial cell,RA
0.0,0,RPL18,test,adventitial cell,RA
0.0,0,NQO1,test,adventitial cell,RA
0.0,0,C1S,test,adventitial cell,RA
0.0,0,MT-ATP6,test,adventitial cell,RA
1.0,0,TUBB4B,test,adventitial cell,RA
0.0,0,PSMB5,test,adventitial cell,RA
0.0,0,C1R,test,adventitial cell,RA
0.0,0,MME,test,adventitial cell,RA
0.0,0,GSTM3,test,adventitial cell,RA
0.0,0,TTLL3,test,adventitial cell,RA
0.0,0,PRDX2,test,adventitial cell,RA
0.0,0,TXNRD1,test,adventitial cell,RA
0.0,0,AKR1B1,test,adventitial cell,RA
0.0,0,LGALS1,test,adventitial cell,RA
0.0,0,JDP2,test,adventitial cell,RA
0.0,0,ITGB1,test,adventitial cell,RA
0.0,0,CALM1,test,adventitial cell,RA
0.0,0,ATP6V1B2,test,adventitial cell,RA
0.0,0,PRDX1,test,adventitial cell,RA
0.0,0,P4HB,test,adventitial cell,RA
0.0,0,VEGFB,test,adventitial cell,RA
0.0,0,SERPINF1,test,adventitial cell,RA
0.0,0,S100A6,test,adventitial cell,RA
0.0,0,OAZ1,test,adventitial cell,RA
0.0,0,PHYH,test,adventitial cell,RA
0.0,0,GBA,test,adventitial cell,RA
0.0,0,CTSL,test,adventitial cell,RA
0.0,0,SIVA1,test,adventitial cell,RA
0.0,0,ATP6AP1,test,adventitial cell,RA
0.0,0,GAPDH,test,adventitial cell,RA
0.0,0,HNRNPA2B1,test,adventitial cell,RA
0.0,0,SERPINA5,test,adventitial cell,RA
0.0,0,HMGB1,test,adventitial cell,RA
0.0,0,NCOA2,test,adventitial cell,RA
0.0,0,MGST1,test,adventitial cell,RA
0.0,0,RPL14,test,adventitial cell,RA
0.0,0,PLIN3,test,adventitial cell,RA
0.0,0,RORA,test,adventitial cell,RA
0.0,0,GLUD1,test,adventitial cell,RA
0.0,0,APRT,test,adventitial cell,RA
0.0,0,ANPEP,test,adventitial cell,RA
0.0,0,B4GALT1,test,adventitial cell,RA
0.0,0,NID1,test,adventitial cell,RA
0.0,0,THRB,test,adventitial cell,RA
0.0,0,PRPF4B,test,adventitial cell,RA
0.0,0,PTPRS,test,adventitial cell,RA
0.0,0,PYCR2,test,adventitial cell,RA
0.0,0,TAOK1,test,adventitial cell,RA
0.0,0,ATP2B4,test,adventitial cell,RA
0.0,0,MOCS2,test,adventitial cell,RA
0.0,0,ABCA1,test,adventitial cell,RA
0.0,0,ADH1A,test,alveolar fibroblast,RA
0.0,0,LGALS1,test,alveolar fibroblast,RA
0.0,0,PLA2G2A,test,alveolar fibroblast,RA
0.0,0,PTGDS,test,alveolar fibroblast,RA
0.0,0,SERPINE1,test,alveolar fibroblast,RA
0.0,0,GSTM2,test,alveolar fibroblast,RA
0.0,0,DCLK1,test,alveolar fibroblast,RA
0.0,0,PEBP1,test,alveolar fibroblast,RA
0.0,0,GSTP1,test,alveolar fibroblast,RA
0.0,0,ABCA1,test,alveolar fibroblast,RA
0.0,0,CACNB2,test,alveolar fibroblast,RA
0.0,0,GBA,test,alveolar fibroblast,RA
0.0,0,EPAS1,test,alveolar fibroblast,RA
0.0,0,DRD1,test,alveolar fibroblast,RA
